s,kW,kW,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,C
1075,3790.53,3832.25,13.7,13.7,7.18,7.42,3.9,4.12,20.51
1076,3767.58,3832.22,13.7,13.9,7.21,7.46,3.89,4.14,20.54
1077,3772.88,3832.8,13.8,14,7.24,7.46,3.91,4.17,20.56
1078,3776.57,3833.54,13.8,13.8,7.23,7.38,3.9,4.12,20.59
1079,3772.49,3832.47,13.8,13.9,7.26,7.38,3.92,4.11,20.62
1080,3766.8,3832.91,13.7,13.8,7.21,7.37,3.91,4.1,20.67
1081,3756.75,3832.36,13.7,13.9,7.32,7.51,3.96,4.22,20.73
1082,3752.11,3833.02,13.9,13.8,7.26,7.51,3.95,4.19,20.78
1083,3752.94,3831.97,13.8,13.6,7.21,7.45,3.92,4.17,20.8
1084,3728.2,3832.31,13.8,13.7,7.3,7.52,3.96,4.2,20.81
1085,3720.49,3831.78,13.9,14.1,7.39,7.59,3.95,4.24,20.81
1086,3716.23,3833.57,13.7,13.5,7.18,7.34,3.85,4.13,20.84
1087,3704.74,3833.35,13.7,13.4,7.17,7.22,3.83,4.1,20.89
1088,3707.04,3833.62,13.7,13.8,7.27,7.37,3.89,4.15,20.94
1089,3731.16,3834.39,13.7,13.8,7.29,7.42,3.91,4.15,20.94
1090,3757.52,3832.43,13.6,13.5,7.2,7.3,3.89,4.11,20.86
1091,3809.81,3832.05,13.6,13.6,7.2,7.42,3.95,4.2,20.76
1092,3842.69,3833.77,13.7,13.8,7.3,7.56,3.98,4.24,20.72
1093,3860.67,3831.49,13.7,13.7,7.24,7.52,3.97,4.22,20.69
1094,3870.82,3832.32,13.7,13.7,7.32,7.58,4.02,4.31,20.67
1095,3875.78,3832.05,13.6,13.7,7.33,7.59,4.01,4.26,20.64
1096,3873.43,3832.65,13.8,13.8,7.42,7.6,4.03,4.3,20.61
1097,3881.53,3831.53,14,14.2,7.54,7.83,4.14,4.39,20.55
1098,3853.14,3832.76,13.7,13.9,7.36,7.56,4,4.23,20.51
1099,3810.17,3831.39,13.5,13.7,7.23,7.46,3.93,4.17,20.52
1100,3795.82,3832.47,13.5,13.6,7.15,7.43,3.89,4.16,20.48
1101,3789.57,3832.69,13.6,13.5,7.24,7.45,3.9,4.17,20.45
1102,3818.58,3832.16,13.8,13.5,7.33,7.45,3.93,4.17,20.41
1103,3863.22,3833.02,13.9,13.5,7.4,7.49,4.02,4.27,20.38
1104,3914.83,3831.86,13.9,13.9,7.45,7.56,4.02,4.28,20.34
1105,3933.51,3832.7,14,13.8,7.49,7.56,4.03,4.25,20.34
1106,3944.42,3832.31,13.7,13.6,7.36,7.52,4,4.23,20.37
1107,3911.6,3831.45,13.8,13.8,7.39,7.59,4.01,4.27,20.39
1108,3888.39,3832.7,14,14.2,7.48,7.69,4.09,4.3,20.41
1109,3832.79,3832.21,14,14.1,7.54,7.76,4.16,4.33,20.41
1110,3790.32,3832.69,13.7,13.7,7.42,7.64,4.08,4.28,20.43
1111,3761.99,3831.91,13.7,13.9,7.4,7.67,4.05,4.31,20.46
1112,3754.13,3831.52,13.8,14,7.35,7.6,3.99,4.26,20.45
1113,3745.89,3833.62,14,14.2,7.32,7.58,4.01,4.23,20.47
1114,3730.65,3832.38,13.6,13.6,7.09,7.32,3.86,4.11,20.47
1115,3736.26,3831.63,13.7,13.8,7.23,7.42,3.93,4.15,20.47
1116,3770.13,3832.27,13.8,14.1,7.42,7.66,4.05,4.3,20.46
1117,3798.8,3831.9,13.8,14.2,7.4,7.68,4.03,4.3,20.45
1118,3804.42,3900.27,13.7,13.7,7.32,7.47,3.95,4.19,20.46
1119,3810.91,3900.32,13.7,13.8,7.39,7.59,4,4.25,20.47
1120,3808.19,3899.75,13.6,13.7,7.39,7.5,3.95,4.21,20.47
1121,3817.71,3899.08,13.7,14,7.43,7.56,3.96,4.23,20.46
1122,3802.62,3899.98,13.9,14.3,7.51,7.69,4,4.34,20.44
1123,3777.72,3899.48,13.8,14,7.49,7.64,4,4.28,20.44
1124,3787.91,3899.2,13.7,14.2,7.43,7.72,4.04,4.31,20.45
1125,3815.51,3900.91,13.5,13.5,7.35,7.51,3.98,4.22,20.51
1126,3837.44,3898.21,13.6,13.6,7.32,7.5,3.96,4.21,20.58
1127,3886.67,3901.72,13.5,13.6,7.18,7.46,3.91,4.17,20.62
1128,3907.73,3899.35,13.5,13.6,7.17,7.41,3.93,4.16,20.64
1129,3883.89,3900.98,13.5,13.7,7.11,7.34,3.89,4.17,20.65
1130,3861.72,3900.9,13.6,13.7,7.21,7.38,3.9,4.13,20.65
1131,3805.59,3898.83,13.7,13.6,7.26,7.49,3.97,4.23,20.67
1132,3767.46,3900.04,13.7,13.6,7.33,7.52,4.01,4.26,20.69
1133,3739.02,3900.35,13.8,13.6,7.27,7.54,3.97,4.23,20.68
1134,3722.56,3899.81,13.7,13.3,7.26,7.35,3.89,4.12,20.64
1135,3744.18,3899.98,13.6,13.2,7.21,7.29,3.84,4.13,20.59
1136,3789.44,3900.58,13.7,13.4,7.21,7.34,3.88,4.14,20.54
1137,3812.58,3898.55,13.7,13.4,7.26,7.35,3.89,4.15,20.49
1138,3826.38,3900.23,13.6,13.7,7.37,7.49,3.96,4.23,20.46
1139,3835.28,3898.8,13.6,13.6,7.4,7.58,4.04,4.28,20.47
1140,3834.41,3899.43,13.8,14,7.55,7.76,4.15,4.38,20.48
1141,3835.67,3898.74,14.2,15,7.74,8.13,4.27,4.53,20.49
1142,3824.4,3898.79,14.1,14.8,7.64,8.07,4.2,4.48,20.52
1143,3800.16,3900.1,13.9,14.4,7.49,7.85,4.11,4.37,20.55
1144,3774.83,3898.77,13.9,14.3,7.51,7.75,4.07,4.34,20.59
1145,3762.14,3900.08,13.9,14.1,7.52,7.73,4.09,4.35,20.55
1146,3769.99,3899.56,14,14.2,7.52,7.83,4.12,4.4,20.54
1147,3804.54,3899,13.9,14,7.45,7.72,4.06,4.33,20.55
1148,3841.79,3900.23,13.7,13.7,7.3,7.66,4.02,4.3,20.53
1149,3882.33,3900.15,13.6,13.4,7.18,7.37,3.89,4.18,20.56
1150,3895,3898.22,13.7,13.7,7.26,7.43,3.92,4.16,20.61
1151,3894.76,3899.13,13.6,13.5,7.26,7.42,3.91,4.17,20.64
1152,3875.79,3899.19,13.6,13.4,7.27,7.46,3.95,4.22,20.67
1153,3846.02,3899.13,13.6,13.5,7.3,7.51,4.01,4.26,20.7
1154,3808.99,3898.56,13.6,13.8,7.29,7.52,3.99,4.27,20.75
1155,3774.54,3900.28,13.8,13.7,7.29,7.5,3.96,4.27,20.78
1156,3750.58,3899.15,13.9,13.8,7.3,7.5,3.95,4.22,20.79
1157,3732.03,3900.45,13.8,13.7,7.37,7.49,3.96,4.2,20.76
1158,3715.6,3898.48,13.8,14,7.46,7.76,4.06,4.35,20.7
1159,3692.69,3898.66,13.8,13.8,7.43,7.71,4.06,4.32,20.68
1160,3697.88,3898.8,13.9,14.1,7.46,7.72,4.04,4.34,20.68
1161,3682.03,3898.87,13.8,14.1,7.49,7.73,4.06,4.41,20.71
1162,3678.93,3900.13,13.9,14.2,7.55,7.76,4.1,4.41,20.76
1163,3657.55,3900.74,14.1,14.4,7.54,7.83,4.12,4.44,20.77
1164,3648.75,3898.19,14,14.3,7.46,7.71,4.09,4.38,20.76
1165,3633.65,3899.64,14,14.3,7.46,7.73,4.09,4.36,20.78
1166,3650.58,3898.99,13.9,14.1,7.37,7.6,4.04,4.28,20.75
1167,3683.92,3899.2,13.8,13.8,7.39,7.58,4.03,4.25,20.71
1168,3745.04,3899.14,13.7,13.7,7.3,7.49,3.98,4.2,20.71
1169,3803.27,3899.09,13.8,13.7,7.24,7.45,3.93,4.17,20.71
1170,3865.22,3898.4,13.8,13.4,7.23,7.37,3.92,4.16,20.71
1171,3921.03,3898.46,14.1,13.9,7.55,7.67,4.11,4.35,20.71
1172,3913.91,3899.25,14,14.5,7.63,7.93,4.21,4.45,20.72
1173,3884.63,3898.1,14.1,14.8,7.67,8.14,4.23,4.52,20.72
1174,3837.17,3899.29,14.1,14.5,7.55,7.92,4.16,4.4,20.72
1175,3820,3899.09,14,14.7,7.64,8.01,4.22,4.52,20.77
1176,3785.24,3898.79,14.1,15,7.8,8.23,4.33,4.66,20.81
1177,3710.63,3898.89,14,14.8,7.76,8.19,4.26,4.6,20.85
1178,3629.22,3898.83,14.1,14.7,7.68,8.06,4.19,4.47,20.86
1179,3607.95,3898.62,14.3,14.8,7.55,7.94,4.1,4.42,20.85
1180,3601.88,3898.58,14.2,14.6,7.57,7.89,4.09,4.41,20.84
1181,3588.75,3898.04,14,14.2,7.52,7.77,4.06,4.36,20.83
1182,3598.66,3899.21,13.9,14.3,7.49,7.8,4.06,4.38,20.83
1183,3649.01,3900.25,13.8,14.4,7.46,7.84,4.09,4.36,20.84
1184,3716.39,3898.45,13.7,14.3,7.42,7.69,4.04,4.31,20.87
1185,3767.09,3898.59,13.7,14.3,7.3,7.6,3.96,4.27,20.88
1186,3801.56,3899.32,13.8,13.9,7.26,7.45,3.91,4.17,20.9
1187,3817.41,3898.41,13.8,14.2,7.45,7.71,4.06,4.36,20.92
1188,3840.48,3899.04,14.1,14.4,7.55,7.87,4.14,4.41,20.94
1189,3813,3898.46,13.9,14.3,7.54,7.89,4.15,4.41,20.91
1190,3793.11,3898.31,13.9,14.3,7.49,7.76,4.09,4.34,20.9
1191,3822.95,3897.76,13.7,14.1,7.37,7.76,4.07,4.34,20.89
1192,3888.12,3898.24,13.8,14,7.43,7.71,4.08,4.33,20.89
1193,3941.42,3899.71,13.9,13.8,7.37,7.64,4.05,4.27,20.92
1194,3972.11,3899.2,13.9,13.8,7.4,7.58,4.03,4.27,20.95
1195,4002.44,3898.32,13.7,13.4,7.36,7.43,3.98,4.19,20.97
1196,4020.29,3897.78,13.7,13.2,7.4,7.42,3.99,4.2,20.99
1197,4000.39,3899.32,13.6,13.4,7.46,7.56,4.06,4.3,21.02
1198,3956.46,3897.11,13.6,13.5,7.57,7.71,4.18,4.42,21.05
1199,3904.84,3898.66,13.8,14.1,7.73,8.02,4.37,4.58,21.07
1200,3845.2,3897.52,13.6,13.7,7.64,7.93,4.38,4.54,21.06
1201,3805.57,3899,13.7,13.6,7.67,7.87,4.37,4.5,21.05
1202,3792.53,3898.46,13.8,13.8,7.74,7.97,4.41,4.55,21.05
1203,3800.44,3898.35,13.9,14.1,7.82,8.07,4.43,4.59,21.05
1204,3826.97,3898.78,14,13.9,7.71,7.96,4.29,4.49,21.06
1205,3819.04,3898,13.9,13.6,7.57,7.73,4.17,4.38,21.06
1206,3802.82,3898.57,13.8,13.8,7.55,7.76,4.17,4.41,21.08
1207,3803.34,3897.72,13.9,14.1,7.57,7.87,4.16,4.42,21.1
1208,3816.95,3896.8,13.7,14,7.51,7.8,4.09,4.39,21.08
1209,3812.72,3897.33,13.8,14.5,7.43,7.84,4.09,4.4,21.07
1210,3822.79,3897.02,13.8,14.2,7.49,7.81,4.12,4.4,21.06
1211,3841.3,3897.48,13.9,14.4,7.63,7.96,4.2,4.49,21.07
1212,3867.41,3898.53,13.9,13.9,7.57,7.84,4.19,4.44,21.08
1213,3870.75,3897.03,13.8,14,7.58,7.92,4.24,4.49,21.11
1214,3864.69,3898.03,13.8,14.1,7.61,7.93,4.29,4.45,21.14
1215,3873.26,3897.18,13.8,13.8,7.57,7.83,4.23,4.4,21.18
1216,3867.49,3897.89,13.7,13.8,7.54,7.8,4.22,4.43,21.17
1217,3875.85,3897.85,13.8,14.1,7.58,7.87,4.25,4.43,21.21
1218,3857.44,3898.95,14,14.6,7.71,8.06,4.33,4.52,21.22
1219,3823.09,3898.57,14,14.6,7.66,8.05,4.3,4.52,21.24
1220,3770.12,3897.01,13.7,13.9,7.55,7.79,4.18,4.38,21.25
1221,3736.47,3897.01,13.8,14,7.57,7.84,4.19,4.43,21.28
1222,3721.16,3897.4,13.6,13.9,7.48,7.79,4.14,4.38,21.28
1223,3714.39,3896.83,13.5,13.8,7.43,7.73,4.13,4.36,21.27
1224,3734.37,3897.41,13.7,13.8,7.36,7.66,4.06,4.32,21.3
1225,3759.25,3896.97,13.9,14.1,7.48,7.73,4.11,4.34,21.34
1226,3798.9,3897.43,14.1,14.2,7.55,7.77,4.12,4.38,21.35
1227,3820.11,3898.84,14.1,14.1,7.66,7.85,4.19,4.43,21.34
1228,3818.91,3896.89,13.9,13.8,7.61,7.77,4.19,4.41,21.35
1229,3811.08,3897.47,13.7,13.6,7.6,7.76,4.21,4.41,21.41
1230,3817.84,3897.93,13.6,13.7,7.61,7.85,4.25,4.46,21.46
1231,3805.47,3896.23,13.7,13.8,7.61,7.9,4.29,4.48,21.43
1232,3817.97,3898.58,13.6,13.7,7.61,7.94,4.35,4.57,21.38
1233,3812.2,3898.02,13.6,13.6,7.67,7.92,4.33,4.55,21.37
1234,3803.94,3897.34,13.7,13.4,7.58,7.76,4.26,4.45,21.34
1235,3788.83,3897.74,13.8,13.2,7.4,7.64,4.19,4.33,21.31
1236,3800.12,3897.09,13.8,13.3,7.39,7.6,4.1,4.29,21.28
1237,3783.98,3898.42,13.7,13.6,7.49,7.72,4.16,4.36,21.26
1238,3788.66,3896.99,13.9,14.3,7.64,7.92,4.25,4.47,21.26
1239,3806.51,3897.01,13.7,14,7.55,7.83,4.21,4.4,21.31
1240,3792.84,3897.07,13.8,13.9,7.54,7.79,4.21,4.38,21.35
1241,3783.86,3896.77,13.8,14,7.63,7.92,4.28,4.52,21.33
1242,3776.09,3897.12,13.8,14,7.6,7.89,4.27,4.45,21.35
1243,3760.35,3897.28,14,14.3,7.73,8,4.34,4.52,21.37
1244,3739.86,3895.85,14,14.7,7.76,8.13,4.37,4.6,21.35
1245,3698.06,3896.93,14,14.5,7.73,8.17,4.36,4.57,21.35
1246,3668.25,3895.99,13.9,13.9,7.54,7.83,4.19,4.37,21.34
1247,3659.36,3897.13,13.8,13.9,7.48,7.68,4.12,4.3,21.33
1248,3677.43,3898.36,13.7,14.1,7.52,7.84,4.17,4.39,21.33
1249,3655.07,3896.86,13.5,13.7,7.35,7.68,4.09,4.29,21.34
1250,3664.87,3897.86,13.6,13.4,7.26,7.5,4.03,4.22,21.35
1251,3675.47,3898.24,13.6,13.5,7.27,7.5,4,4.21,21.34
1252,3699.18,3897.93,13.6,13.4,7.32,7.47,3.95,4.17,21.33
1253,3750.41,3897.05,13.8,13.6,7.37,7.56,4.04,4.22,21.3
1254,3809.34,3897.22,13.6,13.7,7.46,7.72,4.14,4.33,21.29
1255,3862.42,3874.95,13.7,13.8,7.45,7.77,4.17,4.36,21.28
1256,3865.51,1519.32,12.6,12.5,6.68,7.15,3.86,4,21.26
1257,3795.86,399.24,3.47,3.1,1.41,2.05,1.07,1.14,21.25
1258,3667.84,195.07,1.42,1.01,0.81,0.91,0.61,0.72,21.25
1259,3444.55,134.49,1.34,0.88,0.76,0.81,0.58,0.69,21.26
1260,3083.25,110.43,1.28,0.81,0.73,0.77,0.56,0.66,21.29
1261,2643.13,106.3,1.13,0.73,0.7,0.72,0.53,0.64,21.31
1262,2175.96,106.11,1.13,0.72,0.69,0.7,0.51,0.61,21.29
1263,1733.28,126.97,1.26,0.77,0.72,0.73,0.54,0.61,21.3
1264,1376.92,143.72,1.29,0.78,0.72,0.72,0.53,0.59,21.32
1265,1067.27,140.74,1.24,0.77,0.66,0.68,0.52,0.6,21.34
1266,845.15,135.04,1.17,0.7,0.63,0.68,0.5,0.6,21.33
1267,664.63,132.76,1.22,0.69,0.66,0.66,0.49,0.58,21.3
1268,533.6,132.56,1.37,0.76,0.73,0.68,0.51,0.58,21.26
1269,440.66,187.69,1.41,0.72,0.73,0.69,0.51,0.56,21.2
1270,370.63,173.18,1.43,0.73,0.69,0.69,0.5,0.59,21.2
1271,330.81,184.82,1.46,0.72,0.75,0.68,0.51,0.56,21.23
1272,296.12,180.88,1.45,0.7,0.79,0.69,0.52,0.54,21.25
1273,266.53,187.35,1.47,0.7,0.75,0.68,0.52,0.56,21.29
1274,250.84,127.11,0.96,0.59,0.59,0.59,0.43,0.5,21.29
1275,235.16,62.31,1,0.6,0.59,0.57,0.43,0.48,21.32
1276,217.75,54.53,0.96,0.55,0.57,0.56,0.43,0.49,21.35
1277,207.07,50.4,0.89,0.53,0.59,0.55,0.42,0.48,21.39
1278,191.06,39.9,0.87,0.53,0.53,0.53,0.41,0.47,21.43
1279,180.7,36.99,0.85,0.51,0.51,0.53,0.4,0.45,21.48
1280,181.13,36.11,0.91,0.47,0.5,0.49,0.4,0.44,21.51
1281,174.9,35.11,0.89,0.52,0.5,0.48,0.39,0.45,21.5
1282,176.27,33.39,0.83,0.49,0.51,0.48,0.38,0.42,21.41
1283,178.15,31.73,0.81,0.45,0.5,0.48,0.37,0.39,21.29
1284,181.28,29.33,0.8,0.45,0.5,0.47,0.36,0.41,21.25
1285,178.33,28.07,0.79,0.41,0.47,0.48,0.36,0.41,21.16
1286,173.52,26.81,0.75,0.4,0.45,0.43,0.35,0.41,21.1
1287,173.35,24.83,0.72,0.4,0.42,0.42,0.34,0.38,20.99
1288,168.52,23.17,0.7,0.41,0.36,0.43,0.34,0.38,20.88
1289,165.12,22.95,0.67,0.41,0.38,0.43,0.33,0.37,20.8
1290,157.21,20.07,0.66,0.4,0.36,0.42,0.32,0.37,20.76
1291,155.62,18.72,0.63,0.36,0.39,0.42,0.3,0.38,20.73
1292,152.42,17.68,0.59,0.39,0.39,0.4,0.3,0.37,20.71
1293,152.49,17.49,0.55,0.35,0.38,0.36,0.3,0.36,20.72
1294,144.22,16.09,0.54,0.29,0.35,0.36,0.29,0.35,20.72
1295,131.67,12.59,0.5,0.29,0.35,0.34,0.29,0.36,20.71
1296,129.71,12.5,0.48,0.28,0.31,0.34,0.29,0.34,20.67
1297,117.99,12.59,0.43,0.28,0.31,0.34,0.28,0.34,20.63
1298,109.24,12.49,0.42,0.27,0.29,0.31,0.28,0.31,20.61
1299,99.84,12.41,0.43,0.24,0.29,0.31,0.27,0.32,20.62
1300,90.82,12.58,0.42,0.22,0.28,0.31,0.27,0.32,20.63
1301,84.51,11.18,0.4,0.26,0.28,0.32,0.27,0.32,20.66
1302,77.16,9.12,0.4,0.22,0.28,0.34,0.28,0.31,20.67
1303,68.66,7.85,0.4,0.22,0.29,0.32,0.28,0.28,20.62
1304,60.3,6.76,0.43,0.24,0.28,0.28,0.28,0.28,20.61
1305,53.07,6.51,0.44,0.23,0.31,0.27,0.27,0.28,20.58
1306,41.12,5.24,0.43,0.22,0.29,0.28,0.26,0.28,20.53
1307,38.6,5.19,0.44,0.2,0.31,0.26,0.25,0.27,20.52
1308,34.82,5.01,0.43,0.2,0.31,0.26,0.25,0.27,20.5
1309,33.83,3.31,0.43,0.27,0.31,0.26,0.26,0.25,20.48
1310,28.61,3.12,0.43,0.35,0.31,0.25,0.25,0.26,20.49
1311,27.82,3.1,0.42,0.31,0.31,0.22,0.25,0.27,20.5
1312,27.45,3.19,0.4,0.2,0.29,0.23,0.25,0.26,20.48
1313,22.96,3.25,0.4,0.22,0.29,0.25,0.26,0.25,20.49
1314,24.77,3.13,0.39,0.23,0.29,0.26,0.25,0.24,20.52
1315,23.7,1.34,0.39,0.22,0.26,0.25,0.25,0.24,20.55
1316,22.8,1.3,0.4,0.2,0.26,0.23,0.25,0.24,20.55
1317,24.32,1.52,0.39,0.19,0.29,0.25,0.25,0.24,20.54
1318,22.17,1.32,0.39,0.24,0.29,0.25,0.25,0.24,20.51
1319,24.48,1.45,0.38,0.24,0.28,0.25,0.25,0.24,20.48
1320,17.76,1.23,0.34,0.19,0.28,0.26,0.25,0.24,20.49
1321,12.8,1.37,0.33,0.18,0.26,0.25,0.25,0.24,20.5
1322,13.92,1.4,0.34,0.16,0.23,0.23,0.24,0.25,20.53
1323,17.84,1.49,0.34,0.14,0.25,0.21,0.24,0.24,20.55
1324,15.72,1.56,0.34,0.16,0.26,0.21,0.24,0.24,20.58
1325,13.67,1.53,0.33,0.16,0.28,0.22,0.24,0.24,20.59
1326,17.67,1.35,0.35,0.16,0.26,0.19,0.23,0.23,20.57
1327,15.35,1.44,0.35,0.19,0.25,0.19,0.23,0.24,20.56
1328,15.34,1.5,0.35,0.2,0.23,0.19,0.24,0.24,20.54
1329,14.63,1.35,0.34,0.22,0.25,0.19,0.24,0.23,20.49
1330,11.35,1.45,0.34,0.19,0.28,0.19,0.23,0.22,20.48
1331,11.16,0.42,0.31,0.18,0.26,0.19,0.22,0.21,20.47
1332,14.97,-0.49,0.3,0.16,0.23,0.21,0.22,0.22,20.44
1333,13.56,-0.44,0.31,0.19,0.23,0.21,0.21,0.24,20.43
1334,17.46,-0.3,0.33,0.19,0.25,0.22,0.2,0.24,20.4
1335,9.26,-0.4,0.33,0.19,0.22,0.21,0.21,0.23,20.42
1336,12.17,-0.44,0.33,0.15,0.2,0.21,0.21,0.23,20.42
1337,9.99,-0.15,0.31,0.14,0.22,0.22,0.2,0.23,20.44
1338,11.3,-0.4,0.3,0.18,0.22,0.21,0.19,0.24,20.48
1339,8.32,-0.31,0.29,0.19,0.19,0.19,0.19,0.24,20.45
1340,9.71,-0.28,0.33,0.18,0.19,0.19,0.18,0.24,20.44
1341,8.19,-0.26,0.31,0.16,0.22,0.21,0.19,0.24,20.45
1342,13.9,-0.43,0.3,0.16,0.22,0.18,0.19,0.24,20.48
1343,10.9,-0.48,0.31,0.16,0.22,0.18,0.18,0.23,20.54
1344,9.07,-0.44,0.33,0.14,0.2,0.18,0.19,0.21,20.61
1345,6.74,-0.31,0.29,0.15,0.19,0.19,0.2,0.22,20.65
1346,8.57,-0.37,0.3,0.18,0.19,0.21,0.2,0.22,20.68
1347,3.68,-0.31,0.3,0.16,0.2,0.23,0.2,0.23,20.71
1348,7.38,-0.31,0.26,0.16,0.2,0.25,0.2,0.23,20.68
1349,9.56,-0.57,0.26,0.15,0.17,0.23,0.2,0.24,20.66
1350,6.21,-0.28,0.29,0.14,0.19,0.22,0.21,0.24,20.64
1351,6.99,-0.38,0.27,0.14,0.19,0.23,0.21,0.23,20.64
1352,7.83,-0.45,0.25,0.15,0.17,0.21,0.21,0.22,20.66
1353,9.37,-0.56,0.25,0.16,0.17,0.19,0.21,0.21,20.67
1354,4.15,-0.56,0.25,0.18,0.19,0.18,0.2,0.2,20.65
1355,9.13,-0.51,0.27,0.16,0.2,0.21,0.19,0.19,20.65
1356,2.55,-0.51,0.27,0.18,0.22,0.22,0.2,0.19,20.67
1357,2.59,-0.57,0.29,0.16,0.23,0.22,0.2,0.2,20.65
1358,6.33,-0.21,0.29,0.16,0.23,0.22,0.19,0.2,20.58
1359,6.96,-0.21,0.29,0.18,0.2,0.23,0.19,0.2,20.55
1360,8.65,-0.33,0.26,0.16,0.17,0.22,0.2,0.19,20.59
1361,3.98,-0.35,0.25,0.16,0.19,0.21,0.19,0.19,20.65
1362,5.35,-0.32,0.27,0.15,0.19,0.22,0.2,0.19,20.63
1363,5.46,-0.28,0.25,0.15,0.17,0.18,0.21,0.19,20.59
1364,4.51,-0.4,0.22,0.11,0.17,0.19,0.19,0.19,20.55
1365,9.94,-0.4,0.26,0.12,0.17,0.21,0.18,0.19,20.52
1366,9.1,-0.3,0.3,0.14,0.19,0.18,0.18,0.19,20.53
1367,1.34,-0.19,0.27,0.15,0.17,0.19,0.17,0.19,20.55
1368,3.5,-0.21,0.22,0.16,0.17,0.21,0.19,0.19,20.55
1369,7.32,-0.38,0.25,0.15,0.16,0.19,0.19,0.2,20.55
1370,8.31,-0.34,0.26,0.15,0.19,0.19,0.21,0.2,20.55
1371,3.01,-0.4,0.26,0.15,0.16,0.18,0.19,0.2,20.56
1372,6.36,-0.33,0.27,0.14,0.16,0.18,0.17,0.19,20.57
1373,3.51,-0.32,0.25,0.12,0.16,0.19,0.19,0.19,20.59
1374,5.28,-0.47,0.22,0.15,0.16,0.18,0.19,0.19,20.6
1375,2.82,-0.55,0.22,0.12,0.17,0.15,0.19,0.19,20.6
1376,-1.36,-0.3,0.23,0.1,0.16,0.15,0.2,0.19,20.58
1377,4.32,-0.47,0.23,0.1,0.16,0.18,0.19,0.19,20.59
1378,2.94,-0.46,0.23,0.1,0.17,0.17,0.19,0.19,20.58
1379,1.61,-0.33,0.22,0.08,0.17,0.18,0.19,0.19,20.55
1380,5.83,-0.31,0.21,0.1,0.16,0.19,0.19,0.18,20.53
1381,3.87,-0.3,0.21,0.12,0.14,0.17,0.18,0.19,20.47
1382,1.66,-0.32,0.22,0.15,0.14,0.15,0.18,0.18,20.43
1383,-1.76,-0.41,0.22,0.15,0.14,0.17,0.17,0.17,20.47
1384,6.66,-0.25,0.23,0.14,0.13,0.19,0.17,0.15,20.54
1385,2.27,-0.32,0.23,0.14,0.13,0.18,0.17,0.17,20.56
1386,3.14,-0.29,0.21,0.15,0.16,0.18,0.18,0.17,20.53
1387,2.12,-0.24,0.22,0.14,0.17,0.19,0.19,0.17,20.51
1388,1.55,-0.55,0.22,0.14,0.16,0.19,0.19,0.18,20.5
1389,4.99,-0.4,0.23,0.14,0.14,0.17,0.19,0.19,20.44
1390,1.01,-0.16,0.25,0.14,0.17,0.18,0.19,0.19,20.37
1391,4.66,-0.46,0.22,0.14,0.17,0.18,0.19,0.18,20.3
1392,3.11,-0.57,0.19,0.14,0.2,0.17,0.19,0.17,20.27
1393,0.83,-0.06,0.19,0.11,0.19,0.18,0.19,0.17,20.23
1394,2.83,-0.24,0.19,0.08,0.16,0.18,0.19,0.18,20.23
1395,4.87,-0.25,0.19,0.11,0.14,0.18,0.18,0.18,20.2
1396,0.01,-0.45,0.22,0.12,0.14,0.17,0.18,0.18,20.19
1397,-0.85,-0.21,0.25,0.11,0.17,0.17,0.18,0.17,20.18
1398,2.91,-0.35,0.23,0.1,0.19,0.15,0.18,0.18,20.16
1399,-0.88,-0.38,0.22,0.12,0.19,0.18,0.17,0.18,20.15
1400,-2.62,-0.36,0.22,0.14,0.16,0.18,0.17,0.19,20.14

